อายุ,เพศ,สถานภาพสมรส,สถานะการมีบุตร,สัญชาติ,อาศัยอยู่ในจังหวัด,การศึกษา,กำลังศึกษาอยู่ในระดับชั้น,จบการศึกษาสูงสุดชั้น,ปัจจุบันฉันอาศัยอยู่กับ,ครอบครัวของฉันมีฐานะ,ครอบครัวของฉันมีลักษณะเฉพาะดังนี้,สิทธิที่ฉันมีในการรับบริการด้านสุขภาพ,ปัญหาใดที่มีผลต่อชีวิตวัยรุ่นมากที่สุด,"ความพึงพอใจต่อการเรียนการสอนเรื่องเพศวิถีศึกษาในสังคมไทย[สถานศึกษามี ""ครู"" ที่ไว้ใจและสามารถขอคำปรึกษาเรื่องการมีความสัมพันธ์ทางเพศได้]","ความพึงพอใจต่อการเรียนการสอนเรื่องเพศวิถีศึกษาในสังคมไทย[สถานศึกษามี ""บุคคลากรที่ไม่ใช่ครู"" ที่ไว้ใจและสามารถขอคำปรึกษาเรื่องการมีความสัมพันธ์ทางเพศได้]","ความพึงพอใจต่อการเรียนการสอนเรื่องเพศวิถีศึกษาในสังคมไทย[สถานศึกษามี ""การสอนเพศวิถีศึกษา""  ที่เหมาะสมกับเพศ วัย ตรงตามความต้องการ]",ฉันอยากเรียนรู้เรื่องต่อไปนี้ เพื่อให้เข้าใจเพศวิถีศึกษาอย่างรอบด้าน,สถานศึกษาของฉันสอนเกี่ยวกับเพศวิถีศึกษาจากมุมมองผลกระทบด้านลบของการมีเพศสัมพันธ์,การเลี้ยงดู ทัศนคติของพ่อแม่ผู้ปกครอง และชุมชน เน้นแต่ด้านลบของการมีเพศสัมพันธ์,ฉันรู้สึกมั่นใจที่สามารถปรึกษาพูดคุยเรื่องเพศสัมพันธ์กับพ่อแม่/ครอบครัวได้,ฉันสามารถมีเพศสัมพันธ์ที่ปลอดภัย เพื่อป้องกันการตั้งครรภ์และการติดโรคทางเพศสัมพันธ์ ได้,การบริการเรื่องอนามัยการเจริญพันธุ์ที่ควรได้รับการปรับปรุงเพิ่มเติม,เมื่อวัยรุ่นตั้งครรภ์ ฉันเห็นว่าควรได้รับสิทธิดังต่อไปนี้,หากมีเพื่อนตั้งครรภ์ ฉันมีความรู้สามารถให้คำแนะนำกับเพื่อนได้ว่าควรจะทำอย่างไร,หากฉัน(หรือคนรักของฉัน) ท้อง บุคคลแรกที่ฉันจะปรึกษาและขอคำแนะนำคือใคร,ฉันรู้สึกพึงพอใจการให้บริการอนามัยการเจริญพันธุ์ในพื้นที่ที่ฉันอยู่อาศัย,ทักษะที่จำเป็นสำหรับอนาคตของคนรุ่นของฉัน,ฉันคิดว่า ฉันได้รับการเตรียมทักษะที่ฉันต้องการเพียงพอ,ว่าจะเรียนรู้พัฒนาทักษะดังกล่าวได้ที่ไหน,อาชีพที่คุณอยากทำ
17,หญิง,โสด,ยังไม่มีบุตร,สัญชาติไทย,นครสวรรค์,เรียนรู้ด้วยตัวเอง,มหาวิทยาลัย,มัธยมปลาย,ครอบครัว/พ่อแม่,พอมีพอกิน,ไม่มีข้อไหนเลย,สวัสดิการบุตรข้าราชการ/ข้าราชการบำนาญ,เรื่องเพศและสุขภาพทางเพศ;ความรุนแรงในครอบครัว;รู้สึกโดดเดี่ยว มีภาวะซึมเศร้า และการฆ่าตัวตาย,,การตัดสินใจเรื่องความสัมพันธ์ทางเพศ;การมีเพศสัมพันธ์ที่ปลอดภัย ไม่ท้อง ไม่ติดโรค;การให้คำปรึกษาและรักษาข้อมูลส่วนตัว,เห็นด้วย,ไม่เห็นด้วย,ไม่แน่ใจ,เห็นด้วย,ให้ความรู้ความเข้าใจที่ถูกต้องเรื่องวิธีการคุมกำเนิดในแบบต่างๆ;ให้ความรู้และคำแนะนำที่ทำให้วัยรุ่นสามารถตัดสินใจได้ด้วยตนเอง;มีช่องทางการสื่อสาร รับคำปรึกษา และรับข้อมูลในโซเชียลมีเดียที่เหมาะกับวัยรุ่น,เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนเดิม;เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนอื่น;มีมาตราการจากรัฐในการช่วยเหลือแม่วัยรุ่นหลังคลอดลูก,ใช่,แม่,พอใจ,ทักษะในการจัดการด้านอารมณ์ ความรู้สึก ได้แก่ สามารถสื่อสารความต้องการของตนเอง การจัดการความโกรธ การยอมรับความหลากหลายทางความคิดในสังคม;ทักษะการวางแผนชีวิต ได้แก่ การประเมินลักษะณะการทำงานในอนาคต;ทักษะด้านสุขภาวะทางเพศ ได้แก่ ความสามารถในการตัดสินใจเรื่องเพศ การเคารพการตัดสินใจเรื่องเพศของผู้อื่น การไม่ล่วงละเมิดผู้อื่นในเรื่องเพศ การดูแลสุขภาพทางเพศของตัวเอง,พอ,สถานศึกษา;พ่อแม่ ญาติ ครอบครัว;อินเตอร์เน็ต สื่อโซเชียล,กลุ่มข้าราชการ ทหาร ตำรวจ ครู,Cyct,
23,ชาย,โสด,ยังไม่มีบุตร,สัญชาติไทย,นครสวรรค์,ไม่ได้เรียน,,มัธยมปลาย,ครอบครัว/พ่อแม่,พอมีพอกิน,ไม่มีข้อไหนเลย,บัตรทอง หลักประกันสุขภาพถ้วนหน้า;ประกันสุขภาพเอกชน,รู้สึกโดดเดี่ยว มีภาวะซึมเศร้า และการฆ่าตัวตาย;เรื่องเพศและสุขภาพทางเพศ;รายได้ไม่พอรายจ่าย;อุบัติเหตุ,น้อย ,ไม่มี ,ปานกลาง ,การให้คำปรึกษาและรักษาข้อมูลส่วนตัว;การเรียนรู้การเปลี่ยนแปลงของร่างกาย เพื่อดูแล บำรุงได้อย่างถูกต้อง;ความหลากหลายทางเพศ,เห็นด้วย,ไม่แน่ใจ,เห็นด้วย,ไม่เห็นด้วย,มีช่องทางการสื่อสาร รับคำปรึกษา และรับข้อมูลในโซเชียลมีเดียที่เหมาะกับวัยรุ่น;ให้ความรู้ความเข้าใจที่ถูกต้องเรื่องวิธีการคุมกำเนิดในแบบต่างๆ;ให้คำปรึกษา และบริการอนามัยเจริญพันธ์ที่ได้มาตรฐาน,เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนเดิม;เพื่อนๆ และ บุคลากรในสถานศึกษาไให้ความการยอมรับ และความช่วยเหลือ;ทำให้วัยรุ่นมีความรู้ความเข้าใจเมื่อตั้งครรภ์ เพื่อให้วัยรุ่นสามารถตัดสินใจได้ว่าจะตั้งครรภ์ต่อหรือไม่,ไม่แน่ใจ,แม่,ไม่แน่ใจ ว่ามีบริการอนามัยการเจริญพันธุ์ ในพื้นที่ของฉัน,ทักษะทางสังคม ได้แก่ การต่อรอง ความสามารถในการสื่อสาร การเข้าสังคม การทำงานเป็นทีม;ทักษะด้านสุขภาวะทางเพศ ได้แก่ ความสามารถในการตัดสินใจเรื่องเพศ การเคารพการตัดสินใจเรื่องเพศของผู้อื่น การไม่ล่วงละเมิดผู้อื่นในเรื่องเพศ การดูแลสุขภาพทางเพศของตัวเอง;ทักษะในการจัดการด้านอารมณ์ ความรู้สึก ได้แก่ สามารถสื่อสารความต้องการของตนเอง การจัดการความโกรธ การยอมรับความหลากหลายทางความคิดในสังคม,ไม่พอ,สถานศึกษา;พ่อแม่ ญาติ ครอบครัว;เพื่อน ชุมชน ชมรม,กลุ่มอาชีพอิสระ เช่น นักแสดงนักร้อง นักดนตรี ศิลปินสร้างงานศิลปะ นักกีฬา เชพ นักแปล
23,ชาย,โสด,ยังไม่มีบุตร,สัญชาติไทย,ตรัง,อุดมศึกษา,มหาวิทยาลัย,ปริญญาตรี,ครอบครัว/พ่อแม่,พอมีพอกิน,ไม่มีข้อไหนเลย,สวัสดิการบุตรข้าราชการ/ข้าราชการบำนาญ,เรื่องเพศและสุขภาพทางเพศ;รู้สึกโดดเดี่ยว มีภาวะซึมเศร้า และการฆ่าตัวตาย;การกลั่นแกล้งในโลกออนไลน์,มากที่สุด ,มากที่สุด ,มากที่สุด ,การเรียนรู้การเปลี่ยนแปลงของร่างกาย เพื่อดูแล บำรุงได้อย่างถูกต้อง;สิทธิอนามัยการเจริญพันธุ์;การให้คำปรึกษาและรักษาข้อมูลส่วนตัว,เห็นด้วย,เห็นด้วย,เห็นด้วย,เห็นด้วย,มีช่องทางการสื่อสาร รับคำปรึกษา และรับข้อมูลในโซเชียลมีเดียที่เหมาะกับวัยรุ่น;มีบริการนอกเวลาราชการ;มีการรักษาข้อมูลและความเป็นส่วนตัวโดยผู้ให้บริการ,เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนเดิม;เพื่อนๆ และ บุคลากรในสถานศึกษาไให้ความการยอมรับ และความช่วยเหลือ;ทำให้วัยรุ่นมีความรู้ความเข้าใจเมื่อตั้งครรภ์ เพื่อให้วัยรุ่นสามารถตัดสินใจได้ว่าจะตั้งครรภ์ต่อหรือไม่,ใช่,,พอใจ,ทักษะทางสังคม ได้แก่ การต่อรอง ความสามารถในการสื่อสาร การเข้าสังคม การทำงานเป็นทีม;ทักษะทางด้านสุขภาพ ได้แก่ การป้องกันโรค การสร้างเสริมสุขภาพ;ทักษะด้านสุขภาวะทางเพศ ได้แก่ ความสามารถในการตัดสินใจเรื่องเพศ การเคารพการตัดสินใจเรื่องเพศของผู้อื่น การไม่ล่วงละเมิดผู้อื่นในเรื่องเพศ การดูแลสุขภาพทางเพศของตัวเอง,พอ,สถานศึกษา;อินเตอร์เน็ต สื่อโซเชียล;สถาบัน หรือ หน่วยงานเฉพาะด้าน,กลุ่มผู้ประกอบการ นักลงทุน เจ้าของกิจการ
18,ชาย,โสด,ยังไม่มีบุตร,สัญชาติไทย,ปัตตานี,สายสามัญ,มัธยมปลาย,มัธยมต้น,ครอบครัว/พ่อแม่,พอมีพอกิน,อยู่กับแม่เลี้ยงเดี่ยว,บัตรทอง หลักประกันสุขภาพถ้วนหน้า;ไม่รู้ว่ามีหรือไม่,การเจ็บป่วย ปัญหาสุขภาพ;รู้สึกโดดเดี่ยว มีภาวะซึมเศร้า และการฆ่าตัวตาย;ความขัดแย้ง ความเห็นแตกต่างทางการเมือง,ปานกลาง ,มาก ,ปานกลาง ,การตัดสินใจเรื่องความสัมพันธ์ทางเพศ;สิทธิอนามัยการเจริญพันธุ์;การให้คำปรึกษาและรักษาข้อมูลส่วนตัว,เห็นด้วย,ไม่เห็นด้วย,เห็นด้วย,เห็นด้วย,มีช่องทางการสื่อสาร รับคำปรึกษา และรับข้อมูลในโซเชียลมีเดียที่เหมาะกับวัยรุ่น;มีบริการแก่วัยรุ่นในสถานที่อื่น ที่ไม่ใช่โรงพยาบาล;ให้ความรู้และคำแนะนำที่ทำให้วัยรุ่นสามารถตัดสินใจได้ด้วยตนเอง,เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนเดิม;เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนอื่น;เพื่อนๆ และ บุคลากรในสถานศึกษาไให้ความการยอมรับ และความช่วยเหลือ,ใช่,แม่,ไม่แน่ใจ,ทักษะทางสังคม ได้แก่ การต่อรอง ความสามารถในการสื่อสาร การเข้าสังคม การทำงานเป็นทีม;ทักษะการวางแผนชีวิต ได้แก่ การประเมินลักษะณะการทำงานในอนาคต;ทักษะในการจัดการด้านอารมณ์ ความรู้สึก ได้แก่ สามารถสื่อสารความต้องการของตนเอง การจัดการความโกรธ การยอมรับความหลากหลายทางความคิดในสังคม,พอ,สถานศึกษา;อินเตอร์เน็ต สื่อโซเชียล;พ่อแม่ ญาติ ครอบครัว,กลุ่มไม่แสวงหาผลกำไร เช่น นักบวช อาสาสมัคร
19,ชาย,โสด,ยังไม่มีบุตร,สัญชาติไทย,นราธิวาส,อุดมศึกษา,มหาวิทยาลัย,มัธยมปลาย,ครอบครัว/พ่อแม่,พอมีพอกิน,อยู่กับแม่เลี้ยงเดี่ยว,บัตรทอง หลักประกันสุขภาพถ้วนหน้า,การเจ็บป่วย ปัญหาสุขภาพ;อุบัติเหตุ;รายได้ไม่พอรายจ่าย;ตกงาน ไม่มีงานทำ,,การเรียนรู้การเปลี่ยนแปลงของร่างกาย เพื่อดูแล บำรุงได้อย่างถูกต้อง;การคุมกำเนิด;การมีเพศสัมพันธ์ที่ปลอดภัย ไม่ท้อง ไม่ติดโรค,เห็นด้วย,ไม่แน่ใจ,เห็นด้วย,เห็นด้วย,มีช่องทางการสื่อสาร รับคำปรึกษา และรับข้อมูลในโซเชียลมีเดียที่เหมาะกับวัยรุ่น;มีบริการนอกเวลาราชการ;มีการรักษาข้อมูลและความเป็นส่วนตัวโดยผู้ให้บริการ,เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนเดิม;เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนอื่น;เพื่อนๆ และ บุคลากรในสถานศึกษาไให้ความการยอมรับ และความช่วยเหลือ,ใช่,เพื่อน,ไม่แน่ใจ,ทักษะทางสังคม ได้แก่ การต่อรอง ความสามารถในการสื่อสาร การเข้าสังคม การทำงานเป็นทีม;ทักษะทางด้านสุขภาพ ได้แก่ การป้องกันโรค การสร้างเสริมสุขภาพ;ทักษะด้านสุขภาวะทางเพศ ได้แก่ ความสามารถในการตัดสินใจเรื่องเพศ การเคารพการตัดสินใจเรื่องเพศของผู้อื่น การไม่ล่วงละเมิดผู้อื่นในเรื่องเพศ การดูแลสุขภาพทางเพศของตัวเอง,พอ,สถานศึกษา;พ่อแม่ ญาติ ครอบครัว;เพื่อน ชุมชน ชมรม,กลุ่มข้าราชการ ทหาร ตำรวจ ครู,cyct,
18,ชาย,โสด,ยังไม่มีบุตร,สัญชาติไทย,สระแก้ว,สายสามัญ,มหาวิทยาลัย,มัธยมปลาย,ครอบครัว/พ่อแม่,พอมีพอกิน,ไม่มีข้อไหนเลย,บัตรทอง หลักประกันสุขภาพถ้วนหน้า;ได้สิทธิประกันสุขภาพในมหาวิทยาลัย,เรื่องเพศและสุขภาพทางเพศ;ยาเสพติด;อุบัติเหตุ,มาก ,มากที่สุด ,มาก ,สิทธิอนามัยการเจริญพันธุ์;การให้คำปรึกษาและรักษาข้อมูลส่วนตัว;การเรียนรู้การเปลี่ยนแปลงของร่างกาย เพื่อดูแล บำรุงได้อย่างถูกต้อง,เห็นด้วย,เห็นด้วย,เห็นด้วย,เห็นด้วย,มีบริการแก่วัยรุ่นในสถานที่อื่น ที่ไม่ใช่โรงพยาบาล;ให้คำปรึกษา และบริการอนามัยเจริญพันธ์ที่ได้มาตรฐาน;ให้ความรู้และคำแนะนำที่ทำให้วัยรุ่นสามารถตัดสินใจได้ด้วยตนเอง,มีมาตราการจากรัฐในการช่วยเหลือแม่วัยรุ่นหลังคลอดลูก;ทำให้วัยรุ่นมีความรู้ความเข้าใจเมื่อตั้งครรภ์ เพื่อให้วัยรุ่นสามารถตัดสินใจได้ว่าจะตั้งครรภ์ต่อหรือไม่;เพื่อนๆ และ บุคลากรในสถานศึกษาไให้ความการยอมรับ และความช่วยเหลือ,ใช่,อาสาสมัครสาธารณสุขมูลฐาน (อสม.),ไม่แน่ใจ,ทักษะทางสังคม ได้แก่ การต่อรอง ความสามารถในการสื่อสาร การเข้าสังคม การทำงานเป็นทีม;ทักษะในการจัดการด้านอารมณ์ ความรู้สึก ได้แก่ สามารถสื่อสารความต้องการของตนเอง การจัดการความโกรธ การยอมรับความหลากหลายทางความคิดในสังคม;ทักษะการวางแผนชีวิต ได้แก่ การประเมินลักษะณะการทำงานในอนาคต,พอ,ผู้เชี่ยวชาญเฉพาะด้าน เช่น เชฟ นักดนตรี;สถาบัน หรือ หน่วยงานเฉพาะด้าน;เพื่อน ชุมชน ชมรม,กลุ่มพนักงานประจำในบริษัทเอกชน
17,หญิง,โสด,ยังไม่มีบุตร,สัญชาติไทย,นนทบุรี,สายสามัญ,,มัธยมปลาย,ผู้ปกครองที่ไม่ใช่ญาติ,พอมีพอกิน,ไม่มีข้อไหนเลย,บัตรทอง หลักประกันสุขภาพถ้วนหน้า,เรื่องเพศและสุขภาพทางเพศ;ยาเสพติด;รู้สึกโดดเดี่ยว มีภาวะซึมเศร้า และการฆ่าตัวตาย,มาก ,ปานกลาง ,มากที่สุด ,การมีเพศสัมพันธ์ที่ปลอดภัย ไม่ท้อง ไม่ติดโรค;การให้คำปรึกษาและรักษาข้อมูลส่วนตัว;การตัดสินใจเรื่องความสัมพันธ์ทางเพศ,เห็นด้วย,เห็นด้วย,ไม่เห็นด้วย,เห็นด้วย,มีช่องทางการสื่อสาร รับคำปรึกษา และรับข้อมูลในโซเชียลมีเดียที่เหมาะกับวัยรุ่น;มีการรักษาข้อมูลและความเป็นส่วนตัวโดยผู้ให้บริการ;ให้ความรู้และคำแนะนำที่ทำให้วัยรุ่นสามารถตัดสินใจได้ด้วยตนเอง,เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนเดิม;เพื่อนๆ และ บุคลากรในสถานศึกษาไให้ความการยอมรับ และความช่วยเหลือ;มีการสื่อสารสาธารณะเชิงบวกเรื่องสุขภาพทางเพศ,ใช่,ญาติ,ไม่แน่ใจ,ทักษะการวางแผนชีวิต ได้แก่ การประเมินลักษะณะการทำงานในอนาคต;ทักษะด้านสุขภาวะทางเพศ ได้แก่ ความสามารถในการตัดสินใจเรื่องเพศ การเคารพการตัดสินใจเรื่องเพศของผู้อื่น การไม่ล่วงละเมิดผู้อื่นในเรื่องเพศ การดูแลสุขภาพทางเพศของตัวเอง;ทักษะทางการเงิน ได้แก่ การวางแผนการใช้เงิน การออม การลงทุน การเป็นเจ้าของกิจการ,พอ,สถานศึกษา,กลุ่มข้าราชการ ทหาร ตำรวจ ครู
18,หญิง,โสด,ยังไม่มีบุตร,สัญชาติไทย,เลย,สายสามัญ,มัธยมปลาย,มัธยมต้น,ครอบครัว/พ่อแม่,พอมีพอกิน,ต้องอาศัยอยู่กับปู่ย่า/ตายาย,บัตรทอง หลักประกันสุขภาพถ้วนหน้า,รายได้ไม่พอรายจ่าย;ความรุนแรงในครอบครัว,ปานกลาง ,น้อยที่สุด ,ปานกลาง ,การเรียนรู้การเปลี่ยนแปลงของร่างกาย เพื่อดูแล บำรุงได้อย่างถูกต้อง;การตัดสินใจเรื่องความสัมพันธ์ทางเพศ;การให้คำปรึกษาและรักษาข้อมูลส่วนตัว,ไม่เห็นด้วย,ไม่เห็นด้วย,ไม่แน่ใจ,เห็นด้วย,มีช่องทางการสื่อสาร รับคำปรึกษา และรับข้อมูลในโซเชียลมีเดียที่เหมาะกับวัยรุ่น;มีการรักษาข้อมูลและความเป็นส่วนตัวโดยผู้ให้บริการ;มีบริการนอกเวลาราชการ,เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนเดิม;เพื่อนๆ และ บุคลากรในสถานศึกษาไให้ความการยอมรับ และความช่วยเหลือ;ทำให้วัยรุ่นมีความรู้ความเข้าใจเมื่อตั้งครรภ์ เพื่อให้วัยรุ่นสามารถตัดสินใจได้ว่าจะตั้งครรภ์ต่อหรือไม่,ใช่,แม่,ไม่แน่ใจ ว่ามีบริการอนามัยการเจริญพันธุ์ ในพื้นที่ของฉัน,ทักษะทางสังคม ได้แก่ การต่อรอง ความสามารถในการสื่อสาร การเข้าสังคม การทำงานเป็นทีม;ทักษะทางการเงิน ได้แก่ การวางแผนการใช้เงิน การออม การลงทุน การเป็นเจ้าของกิจการ;ทักษะการวางแผนชีวิต ได้แก่ การประเมินลักษะณะการทำงานในอนาคต,พอ,สถานศึกษา;อินเตอร์เน็ต สื่อโซเชียล;ผู้เชี่ยวชาญเฉพาะด้าน เช่น เชฟ นักดนตรี,กลุ่มข้าราชการ ทหาร ตำรวจ ครู
19,ชาย,โสด,ยังไม่มีบุตร,สัญชาติไทย,ปทุมธานี,สายสามัญ,มหาวิทยาลัย,ปริญญาตรี,ครอบครัว/พ่อแม่,พอช่วยเหลือคนอื่นได้,ไม่มีข้อไหนเลย,บัตรทอง หลักประกันสุขภาพถ้วนหน้า;ประกันสุขภาพเอกชน;ได้สิทธิประกันสุขภาพในมหาวิทยาลัย,อุบัติเหตุ;ยาเสพติด;รู้สึกโดดเดี่ยว มีภาวะซึมเศร้า และการฆ่าตัวตาย,มากที่สุด ,มาก ,มากที่สุด ,การเรียนรู้การเปลี่ยนแปลงของร่างกาย เพื่อดูแล บำรุงได้อย่างถูกต้อง;การให้คำปรึกษาและรักษาข้อมูลส่วนตัว;การมีเพศสัมพันธ์ที่ปลอดภัย ไม่ท้อง ไม่ติดโรค,เห็นด้วย,ไม่เห็นด้วย,ไม่เห็นด้วย,เห็นด้วย,มีช่องทางการสื่อสาร รับคำปรึกษา และรับข้อมูลในโซเชียลมีเดียที่เหมาะกับวัยรุ่น;ให้ความรู้และคำแนะนำที่ทำให้วัยรุ่นสามารถตัดสินใจได้ด้วยตนเอง;ให้คำปรึกษา และบริการอนามัยเจริญพันธ์ที่ได้มาตรฐาน,เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนเดิม;เพื่อนๆ และ บุคลากรในสถานศึกษาไให้ความการยอมรับ และความช่วยเหลือ;ทำให้วัยรุ่นมีความรู้ความเข้าใจเมื่อตั้งครรภ์ เพื่อให้วัยรุ่นสามารถตัดสินใจได้ว่าจะตั้งครรภ์ต่อหรือไม่,ใช่,เพื่อน,ไม่แน่ใจ ว่ามีบริการอนามัยการเจริญพันธุ์ ในพื้นที่ของฉัน,ทักษะการวางแผนชีวิต ได้แก่ การประเมินลักษะณะการทำงานในอนาคต;ทักษะในการจัดการด้านอารมณ์ ความรู้สึก ได้แก่ สามารถสื่อสารความต้องการของตนเอง การจัดการความโกรธ การยอมรับความหลากหลายทางความคิดในสังคม;ทักษะด้านสุขภาวะทางเพศ ได้แก่ ความสามารถในการตัดสินใจเรื่องเพศ การเคารพการตัดสินใจเรื่องเพศของผู้อื่น การไม่ล่วงละเมิดผู้อื่นในเรื่องเพศ การดูแลสุขภาพทางเพศของตัวเอง,พอ,สถานศึกษา;อินเตอร์เน็ต สื่อโซเชียล;สถาบัน หรือ หน่วยงานเฉพาะด้าน,กลุ่มข้าราชการ ทหาร ตำรวจ ครู
18,ชาย,โสด,ยังไม่มีบุตร,สัญชาติไทย,เชียงใหม่,สายสามัญ,มหาวิทยาลัย,มัธยมปลาย,ครอบครัว/พ่อแม่,พอมีพอกิน,ไม่มีข้อไหนเลย,บัตรทอง หลักประกันสุขภาพถ้วนหน้า;ประกันสังคม,ความรุนแรงในครอบครัว;การทุจริต คอรัปชั่น;ท้อง,ปานกลาง ,น้อยที่สุด ,ปานกลาง ,การคุมกำเนิด;ความหลากหลายทางเพศ;สิทธิอนามัยการเจริญพันธุ์,เห็นด้วย,เห็นด้วย,เห็นด้วย,เห็นด้วย,มีช่องทางการสื่อสาร รับคำปรึกษา และรับข้อมูลในโซเชียลมีเดียที่เหมาะกับวัยรุ่น;มีบริการแก่วัยรุ่นในสถานที่อื่น ที่ไม่ใช่โรงพยาบาล;มีบริการนอกเวลาราชการ,เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนเดิม;เพื่อนๆ และ บุคลากรในสถานศึกษาไให้ความการยอมรับ และความช่วยเหลือ;ทำให้วัยรุ่นมีความรู้ความเข้าใจเมื่อตั้งครรภ์ เพื่อให้วัยรุ่นสามารถตัดสินใจได้ว่าจะตั้งครรภ์ต่อหรือไม่,ใช่,เพื่อน,ไม่แน่ใจ ว่าบริการอนามัยการเจริญพันธุ์ มีคุณภาพหรือไม่,ทักษะทางสังคม ได้แก่ การต่อรอง ความสามารถในการสื่อสาร การเข้าสังคม การทำงานเป็นทีม;ทักษะด้านสุขภาวะทางเพศ ได้แก่ ความสามารถในการตัดสินใจเรื่องเพศ การเคารพการตัดสินใจเรื่องเพศของผู้อื่น การไม่ล่วงละเมิดผู้อื่นในเรื่องเพศ การดูแลสุขภาพทางเพศของตัวเอง;ทักษะการสื่อสาร ได้แก่ ความเข้าใจภัยจากการใช้สื่อโซเชียลและอินเตอร์เนต การทำคลิปเพื่อสื่อสารในโซเชียล,พอ,สถานศึกษา;พ่อแม่ ญาติ ครอบครัว;สถาบัน หรือ หน่วยงานเฉพาะด้าน,กลุ่มการสื่อสาร เน็ตไอดอล นักข่าว
